touch_id,inquiry_id,touch_timestamp,channel,platform,campaign_id,campaign_name,ad_group,keyword,search_term,match_type,landing_page,geography,cost,platform_conversion,source_system,evidence_class
TOUCH-000001,INQ-000001,2026-05-25T10:40:43,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,TX,,1,Google Organic,System-Observed
TOUCH-000002,INQ-000005,2026-05-01T17:51:49,Paid Social,Meta,CMP-3002,Recovery Journey - Lookalike,Community Awareness,,,,https://harborridge.example.test/family-support,CA,4.98,1,Meta,System-Observed
TOUCH-000003,INQ-000006,2026-05-07T16:39:33,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Family Support,inpatient mental health treatment,inpatient mental health treatment,Exact,https://harborridge.example.test/admissions,NV,15.83,1,Google Ads,System-Observed
TOUCH-000004,INQ-000007,2026-05-04T16:55:59,Local,GBP,,,,,,,https://harborridge.example.test/contact,NV,,1,GBP,System-Observed
TOUCH-000005,INQ-000008,2026-05-05T16:31:30,Direct,,,,,,,,https://harborridge.example.test/,NV,,1,Direct / Analytics,System-Observed
TOUCH-000006,INQ-000009,2026-05-25T17:44:48,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Residential Programs,residential treatment center,residential treatment center,Broad,https://harborridge.example.test/admissions,OR,32.72,1,Google Ads,System-Observed
TOUCH-000007,INQ-000010,2026-05-08T15:39:57,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Admissions,inpatient mental health treatment,inpatient mental health treatment,Broad,https://harborridge.example.test/admissions,TX,35.61,1,Google Ads,System-Observed
TOUCH-000008,INQ-000011,2026-05-10T06:29:37,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,residential treatment center,residential treatment center,Broad,https://harborridge.example.test/admissions,NY,35.17,1,Google Ads,System-Observed
TOUCH-000009,INQ-000012,2026-05-14T09:13:48,Paid Social,Meta,CMP-3002,Recovery Journey - Lookalike,Family Support,,,,https://harborridge.example.test/family-support,OR,6.68,1,Meta,System-Observed
TOUCH-000010,INQ-000014,2026-05-12T16:40:56,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Residential Programs,behavioral health treatment near me,behavioral health treatment near me,Phrase,https://harborridge.example.test/admissions,NV,15.43,1,Google Ads,System-Observed
