referral_id,professional_account_id,opportunity_id,referral_timestamp,referral_channel,source_system,evidence_class,attribution_confidence
REF-000001,PRO-000026,HRO-000002,2026-04-30T16:32:08,Call,CRM,System-Observed,Probable
REF-000002,PRO-000006,HRO-000003,2026-05-26T19:05:04,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000003,PRO-000010,HRO-000004,2026-05-07T19:48:10,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000004,PRO-000019,HRO-000014,2026-05-04T17:01:42,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000005,PRO-000028,HRO-000015,2026-05-01T18:51:28,Other,CRM,Human-Entered,Confirmed
REF-000006,PRO-000039,HRO-000038,2026-05-02T17:21:29,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000007,PRO-000033,HRO-000044,2026-05-04T01:07:24,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000008,PRO-000015,HRO-000056,2026-05-07T07:01:00,Other,CRM,System-Observed,Possible
REF-000009,PRO-000011,HRO-000058,2026-05-10T03:07:16,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000010,PRO-000001,HRO-000061,2026-05-02T04:04:15,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000011,PRO-000038,HRO-000073,2026-05-20T03:06:53,Email/Text Coordination,CRM,System-Observed,Probable
REF-000012,PRO-000007,HRO-000074,2026-05-06T21:48:53,Call,CRM,Human-Entered,Confirmed
REF-000013,PRO-000009,HRO-000075,2026-05-06T21:53:28,Other,CRM,Human-Entered,Confirmed
REF-000014,PRO-000039,HRO-000078,2026-05-08T23:50:55,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000015,PRO-000035,HRO-000079,2026-05-02T18:40:10,Other,CRM,System-Observed,Confirmed
REF-000016,PRO-000038,HRO-000081,2026-05-20T22:26:07,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000017,PRO-000029,HRO-000091,2026-05-04T18:34:30,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000018,PRO-000033,HRO-000103,2026-05-14T07:05:03,Other,CRM,Human-Entered,Confirmed
REF-000019,PRO-000001,HRO-000106,2026-05-09T06:17:32,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000020,PRO-000028,HRO-000112,2026-05-07T10:28:20,Other,CRM,Human-Entered,Confirmed
REF-000021,PRO-000031,HRO-000119,2026-05-01T02:50:19,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000022,PRO-000001,HRO-000136,2026-05-11T07:38:30,Other,CRM,Human-Entered,Possible
REF-000023,PRO-000035,HRO-000137,2026-05-22T18:06:52,Other,CRM,Human-Entered,Confirmed
REF-000024,PRO-000033,HRO-000140,2026-05-14T14:34:42,Other,CRM,System-Observed,Probable
REF-000025,PRO-000021,HRO-000141,2026-05-22T05:37:48,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000026,PRO-000033,HRO-000143,2026-05-06T07:38:46,Other,CRM,Human-Entered,Confirmed
REF-000027,PRO-000007,HRO-000145,2026-05-03T16:05:24,Call,CRM,Human-Entered,Confirmed
REF-000028,PRO-000001,HRO-000148,2026-05-23T13:59:14,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000029,PRO-000021,HRO-000149,2026-05-03T02:03:14,Other,CRM,Human-Entered,Confirmed
REF-000030,PRO-000031,HRO-000150,2026-05-18T12:30:09,Email/Text Coordination,CRM,Human-Entered,Confirmed
